rank,client_canonical,lead_score,confidence,account_fit,signal_strength,solution_match,relationship_warmth,relationship_type,rank_2019,nwp_2019,combined_ratio,exl_client,exl_growth_leader,exl_ce,num_triggers_fired,unique_trigger_types,sum_trigger_strength,recommended_solutions
31,Farmers Ins Group,26.5,Low,0.65,0.0,0.0,0.7,Named,11.0,14483557000.0,,Yes,Sean,Sean,0,0,0.0,
32,Assurant,25.0,Low,0.6,0.0,0.0,0.7,Strategic,35.0,3000087000.0,,Yes,Roopak,Dushyant,0,0,0.0,
33,Zurich,25.0,Low,0.6,0.0,0.0,0.7,Strategic,29.0,3657532000.0,96.4,Yes,Roopak,Raish Malik,0,0,0.0,
34,Progressive,20.0,Very Low,0.6,0.0,0.0,0.2,,3.0,37578689000.0,,Yes,,,0,0,0.0,
35,Berkshire Hathaway,16.5,Very Low,0.55,0.0,0.0,0.0,,2.0,53754763000.0,,,,,0,0,0.0,
36,Tokio Marina US PC Group,15.5,Very Low,0.45,0.0,0.0,0.2,,19.0,7083699000.0,,Yes,,,0,0,0.0,
37,Auto-Owners Ins Group,15.5,Very Low,0.45,0.0,0.0,0.2,,14.0,8585830000.0,,Yes,,,0,0,0.0,
38,Alleghany Corp Group,15.0,Very Low,0.5,0.0,0.0,0.0,,24.0,5344634000.0,,,,,0,0,0.0,
39,Natl Gen Companies,14.0,Very Low,0.4,0.0,0.0,0.2,,50.0,2494927000.0,,Yes,,,0,0,0.0,
40,Chubb,14.0,Very Low,0.4,0.0,0.0,0.2,,8.0,18249079000.0,,Yes,,,0,0,0.0,
41,Genworth,13.8,Very Low,0.25,0.157,0.0,0.0,,97.0,818540000.0,,,,,1,1,0.73,
42,Fairfax Financial (USA) Group,13.5,Very Low,0.45,0.0,0.0,0.0,,17.0,7632626000.0,,,,,0,0,0.0,
43,Erle Ins Group,13.5,Very Low,0.45,0.0,0.0,0.0,,16.0,7478390000.0,,,,,0,0,0.0,
44,Cincinnati Ins Cos,13.5,Very Low,0.45,0.0,0.0,0.0,,23.0,5379896000.0,,,,,0,0,0.0,
45,W. R. Berkley Ins Group,13.5,Very Low,0.45,0.0,0.0,0.0,,21.0,6131338000.0,,,,,0,0,0.0,
46,Amer Intl Group,13.5,Very Low,0.45,0.0,0.0,0.0,,10.0,14825888000.0,,,,,0,0,0.0,
47,AssuredPartners Inc.,12.0,Very Low,0.4,0.0,0.0,0.0,,5.0,981752255.0,,,,,0,0,0.0,
48,NFP,12.0,Very Low,0.4,0.0,0.0,0.0,,10.0,338500000.0,,,,,0,0,0.0,
49,FM Global Group,12.0,Very Low,0.4,0.0,0.0,0.0,,32.0,4007616000.0,,,,,0,0,0.0,
50,BroadStreet Partners Inc.,12.0,Very Low,0.4,0.0,0.0,0.0,,7.0,559589000.0,,,,,0,0,0.0,
